


From                   To                     Miles
Fort Benton            Great Falls                  44
Fort Benton            Harlowton                   133
Fort Benton            Havre                        75
Fort Benton            Helena                      133
Fort Benton            Lewistown                    99
Fort Benton            Malta                       163
Fort Benton            Ryegate                     161
Fort Benton            Shelby                      132
Fort Benton            Stanford                     65
Fort Benton            Three Forks                 199
Fort Benton            Townsend                    165
Fort Benton            White Sulphur Springs       141
Fort Benton            Winnett                     153
-----------------------
Gardiner                Gardiner                     0
Gardiner                Harlowton                  132
Gardiner                Helena                     174
Gardiner                Laurel                     153
Gardiner                Livingston                  53
Gardiner                Red Lodge                  122
Gardiner                Ryegate                    162
Gardiner                Three Forks                109
Gardiner                Townsend                   142
Gardiner                Virginia City              138
Gardiner                White Sulphur Springs      126
-----------------------
Glasgow                Glasgow                       0
Glasgow                Glendive                    151
Glasgow                Havre                       158
Glasgow                Jordan                      113
Glasgow                Malta                        70
Glasgow                Plentywood                  145
Glasgow                Poplar                       70
Glasgow                Scobey                      104
Glasgow                Sidney                      140
Glasgow                Wolf Point                   49
-----------------------
Glendive               Glendive                      0
Glendive               Hysham                      151
Glendive               Jordan                      116
Glendive               Miles City                   78
Glendive               Plentywood                  138
Glendive               Poplar                      114
Glendive               Scobey                      148
Glendive               Sidney                       54
Glendive               Terry                        39
Glendive               Wibaux                       26
Glendive               Wolf Point                  102
-----------------------
Grassrange Junction    Grassrange Junction           0
Grassrange Junction    Great Falls                 136
Grassrange Junction    Hardin                      137
Grassrange Junction    Harlowton                    88
Grassrange Junction    Havre                       153
Grassrange Junction    Hysham                      168
Grassrange Junction    Jordan                       99
Grassrange Junction    Laurel                      113
Grassrange Junction    Lewistown                    31
Grassrange Junction    Malta                       112
Grassrange Junction    Red Lodge                   157
Grassrange Junction    Roundup                      44
Grassrange Junction    Ryegate                      83
Grassrange Junction    Stanford                     76
Grassrange Junction    White Sulphur Springs       145
Grassrange Junction    Winnett                      23
-----------------------
Great Falls            Great Falls                   0
Great Falls            Harlowton                   128
Great Falls            Havre                       115
Great Falls            Helena                       89
Great Falls            Lewistown                   105
Great Falls            Ryegate                     156
Great Falls            Shelby                       88
Great Falls            Stanford                     60
Great Falls            Sweetgrass                  122
Great Falls            Three Forks                 155
Great Falls            Townsend                    121
Great Falls            White Sulphur Springs        97
Great Falls            Winnett                     159
-----------------------
Hamilton               Hamilton                      0
Hamilton               Helena                      165
Hamilton               Kalispell                   165
Hamilton               Missoula                     50
Hamilton               Philipsburg                 124
Hamilton               Polson                      116
Hamilton               Superior                    107
Hamilton               Thompson Falls              150
-----------------------
Hardin                 Hardin                        0
Hardin                 Harlowton                   139
Hardin                 Hysham                       52
Hardin                 Laurel                       62
